Name,Surname,Country,Job,Age,Experience,Salary
Jennifer,Gomez,Benin,"Engineer, mining",27,9,79156
Julia,Garrett,Italy,Bookseller,58,1,67262
Courtney,Freeman,Niue,"Pharmacist, hospital",44,15,44105
Sheena,Faulkner,Peru,Estate manager/land agent,56,6,71914
Cheryl,Arnold,Pakistan,Colour technologist,27,2,90405
Stephen,Gonzalez,Gambia,Merchant navy officer,26,4,50366
Robert,Patel,Belize,Regulatory affairs officer,58,12,36257
Donald,Alvarez,Sweden,Tax adviser,58,7,57645
Deanna,Ward,Venezuela,Freight forwarder,51,13,42143
Andrew,Edwards,United Arab Emirates,Administrator,49,13,65202
Melissa,Turner,Saint Helena,Sports administrator,35,4,77897
Felicia,Hunter,Lao People's Democratic Republic,Leisure centre manager,40,12,98010
Michael,Pierce,Morocco,"Therapist, nutritional",30,6,97697
Bridget,Miller,Djibouti,"Administrator, charities/voluntary organisations",37,4,75995
Joel,Obrien,Hungary,Oncologist,45,1,42881
Elizabeth,Williams,Central African Republic,"Research officer, trade union",44,1,54246
Stephanie,Rasmussen,Anguilla,Mining engineer,51,13,53478
Gerald,Rodriguez,Gabon,Financial manager,47,14,94071
Curtis,Chavez,Slovakia (Slovak Republic),Analytical chemist,54,10,78853
Stephen,Thomas,French Guiana,"Producer, radio",27,13,88781
Mary,Foster,United States Minor Outlying Islands,Trading standards officer,30,4,80071
Mario,Wilson,United Kingdom,Armed forces training and education officer,31,5,55211
Emily,Smith,Kiribati,"Clinical scientist, histocompatibility and immunogenetics",46,12,62356
Chelsea,Williams,Pitcairn Islands,IT sales professional,54,5,90918
Sarah,Ashley,Latvia,Geophysicist/field seismologist,30,9,31180
Martin,Pacheco,Holy See (Vatican City State),Tourist information centre manager,32,3,80653
Rachel,Hernandez,Macao,Surgeon,50,11,34459
Elizabeth,Howell,Ukraine,"Nurse, adult",38,1,53911
Curtis,French,Wallis and Futuna,"Psychotherapist, child",33,1,96881
Kayla,Davis,Congo,Advertising account executive,43,10,93559
Mary,Estrada,Libyan Arab Jamahiriya,Maintenance engineer,28,9,91544
Ashley,Edwards,Angola,Event organiser,55,12,30230
Jacqueline,Schultz,Ghana,IT sales professional,30,4,96904
Barbara,Hodges,Seychelles,TEFL teacher,57,8,34038
Katherine,Rodriguez,Netherlands Antilles,Contractor,42,5,88961
Kyle,Reed,Sierra Leone,IT trainer,36,1,53141
Darren,Crawford,Belize,"Teacher, primary school",32,11,83532
Jonathan,Kirby,Cocos (Keeling) Islands,Broadcast journalist,56,2,30047
Nathan,Gutierrez,Kazakhstan,Applications developer,30,11,92175
Vanessa,King,Afghanistan,"Engineer, energy",59,15,38460
Meghan,Blevins,Tunisia,"Production assistant, radio",39,10,97857
Brittney,Burnett,Luxembourg,Illustrator,38,9,55960
Brent,Hardy,Tuvalu,Consulting civil engineer,29,15,60984
Phillip,Zhang,Heard Island and McDonald Islands,"Psychotherapist, dance movement",31,8,36020
Roger,Elliott,Kyrgyz Republic,Community education officer,50,3,76129
Kimberly,Williams,Cocos (Keeling) Islands,Mechanical engineer,43,1,57902
Richard,Garcia,Saint Martin,Counsellor,42,1,77948
James,Marquez,Trinidad and Tobago,"Programmer, multimedia",46,4,37455
Tyler,Weaver,Togo,Commercial/residential surveyor,59,11,70574
Megan,Byrd,Eritrea,Associate Professor,34,5,60819
Laura,Spence,Niue,Musician,51,4,40767
Edward,Sandoval,Kiribati,Hotel manager,37,14,82777
Felicia,Stewart,Honduras,Catering manager,38,10,52948
Shelby,Rangel,Falkland Islands (Malvinas),Tax inspector,34,13,78083
April,Smith,Equatorial Guinea,Tax inspector,26,2,39916
Kimberly,Hancock,Mayotte,Gaffer,52,3,75236
Sara,Parsons,Jamaica,Contractor,58,15,66691
Kari,Perez,Falkland Islands (Malvinas),Psychiatric nurse,32,10,66922
Bradley,Page,Guyana,Optometrist,49,4,89551
Angela,Mccormick,El Salvador,Equality and diversity officer,46,1,82111
Alexa,Baker,Hong Kong,Chartered management accountant,32,4,96894
Charles,Medina,France,Bookseller,60,2,82257
Cynthia,Coleman,New Zealand,Records manager,39,1,93662
Cynthia,Nelson,Denmark,Television floor manager,46,7,46337
Lisa,Ramos,American Samoa,Risk analyst,27,11,36986
Shannon,Perkins,Dominica,Public relations account executive,55,2,62206
Matthew,Taylor,Australia,Horticultural therapist,57,15,66416
Leslie,Stokes,Sudan,Sales promotion account executive,42,8,51197
Laura,Cortez,Saint Vincent and the Grenadines,Web designer,59,12,94094
Marcus,Madden,Seychelles,"Surveyor, rural practice",58,2,81034
Nicholas,Harris,Azerbaijan,Computer games developer,33,14,99966
William,Taylor,Christmas Island,Financial adviser,37,7,53728
Aaron,Maynard,Wallis and Futuna,Multimedia specialist,33,15,97303
Crystal,Hall,Dominica,Printmaker,51,12,84345
Rhonda,Tate,Yemen,Air traffic controller,53,11,89617
Ashley,Rodgers,Slovenia,Applications developer,46,8,63944
Daniel,Juarez,Bosnia and Herzegovina,Charity fundraiser,41,10,82613
Roberto,Smith,Australia,Chief Operating Officer,57,10,75546
Amanda,Harvey,Holy See (Vatican City State),Mining engineer,49,13,70737
Robert,Sanchez,Samoa,"Journalist, magazine",27,3,78569
Carla,Hurley,French Southern Territories,Amenity horticulturist,59,12,97623
Sherri,Garrison,Cayman Islands,Planning and development surveyor,46,11,66866
Jennifer,Brown,Saint Barthelemy,Computer games developer,31,15,74102
Joshua,Anderson,Saint Lucia,"Scientist, forensic",55,15,36833
James,Richmond,Greenland,"Engineer, agricultural",48,12,85837
Daniel,Smith,Guinea,"Nurse, learning disability",49,6,73612
Yolanda,Griffin,Azerbaijan,Systems developer,37,2,92605
Nancy,Moore,Papua New Guinea,Special educational needs teacher,40,5,52259
Michael,Cox,Tonga,Optometrist,31,6,32816
Maxwell,Thomas,Tokelau,"Runner, broadcasting/film/video",50,7,48295
Scott,James,Saudi Arabia,Field seismologist,29,14,90822
Benjamin,Kane,Central African Republic,"Nurse, mental health",30,10,62991
Kathryn,Spencer,Germany,Fashion designer,45,12,55300
Tiffany,Rodriguez,Antarctica (the territory South of 60 deg S),"Production designer, theatre/television/film",53,13,87785
Nicole,Davis,Nepal,Company secretary,59,13,69902
Darrell,Maldonado,Philippines,"Accountant, chartered",26,10,41006
Dwayne,Johnson,Turkmenistan,Equality and diversity officer,35,5,83390
Sandy,Santos,Yemen,Medical laboratory scientific officer,29,5,59251
Randy,Johnson,Cuba,Armed forces training and education officer,29,3,79019
Jennifer,Sullivan,Myanmar,Agricultural consultant,41,2,98180
Hannah,Campbell,Belarus,"Conservator, furniture",33,6,62803
Jennifer,Mullen,Slovakia (Slovak Republic),Race relations officer,53,3,76835
Daniel,Chavez,Uganda,Forest/woodland manager,38,11,83955
Garrett,Steele,Bahamas,Immunologist,35,7,85563
Michael,Frank,Germany,"Engineer, aeronautical",56,1,89136
Roy,Baker,Aruba,Volunteer coordinator,25,10,47011
Todd,Frank,Gibraltar,"Psychologist, counselling",26,10,79059
Claudia,Burnett,Cameroon,Software engineer,37,6,38443
Stephanie,Patel,Lao People's Democratic Republic,Psychiatric nurse,49,15,94452
William,Moss,Central African Republic,Aid worker,42,3,73334
Lisa,Medina,Sierra Leone,Clinical psychologist,53,9,88105
Margaret,Campos,Iraq,Clinical embryologist,27,2,74253
Jesse,Ferrell,North Macedonia,Farm manager,38,11,80362
Jessica,Hess,Antarctica (the territory South of 60 deg S),Chartered public finance accountant,38,15,56958
Lauren,Barrera,Afghanistan,"Designer, jewellery",37,9,79938
Jackson,Hanson,Congo,"Chemist, analytical",47,15,59462
Katherine,Gonzalez,Burkina Faso,Furniture conservator/restorer,29,2,93964
Tanya,Reese,United Kingdom,"Radiographer, therapeutic",47,6,44433
Christine,Alvarado,Tokelau,"Therapist, speech and language",46,6,42797
Joanna,Wilkinson,Madagascar,Human resources officer,52,8,93530
Colin,Cunningham,Armenia,Operational investment banker,34,3,61765
Juan,Holmes,Honduras,Recycling officer,26,1,53211
Brian,Simpson,Malaysia,Armed forces logistics/support/administrative officer,28,14,57471
Martin,Green,Slovenia,"Psychologist, counselling",34,2,87848
Tina,Thomas,United Arab Emirates,"Designer, exhibition/display",44,4,96681
Scott,Williams,Lesotho,"Nurse, learning disability",48,15,83283
Megan,Francis,Tonga,Counselling psychologist,32,15,88213
Martin,Murray,Senegal,Pharmacologist,51,9,64897
